// https://www.w3.org/Graphics/JPEG/itu-t81.pdf
// pdftotext
// %s/[01]\+$/\=printf("0x%04x %s", str2nr(submatch(0),2), submatch(0))

Table K.3 - Table for luminance DC coefficients

Category Code length Code word
 0 2 0x0000 00
 1 3 0x0002 010
 2 3 0x0003 011
 3 3 0x0004 100
 4 3 0x0005 101
 5 3 0x0006 110
 6 4 0x000e 1110
 7 5 0x001e 11110
 8 6 0x003e 111110
 9 7 0x007e 1111110
10 8 0x00fe 11111110
11 9 0x01fe 111111110

Table K.4 – Table for chrominance DC coefficient differences

Category Code length Code word
 0  2 0x0000 00
 1  2 0x0001 01
 2  2 0x0002 10
 3  3 0x0006 110
 4  4 0x000e 1110
 5  5 0x001e 11110
 6  6 0x003e 111110
 7  7 0x007e 1111110
 8  8 0x00fe 11111110
 9  9 0x01fe 111111110
10 10 0x03fe 1111111110
11 11 0x07fe 11111111110

Table K.5 – Table for luminance AC coefficients (sheet 1 of 4)

Run/Size Code length Code word
0/0  4   0x000a 1010 (EOB)
0/1  2   0x0000 00
0/2  2   0x0001 01
0/3  3   0x0004 100
0/4  4   0x000b 1011
0/5  5   0x001a 11010
0/6  7   0x0078 1111000
0/7  8   0x00f8 11111000
0/8 10   0x03f6 1111110110
0/9 16   0xff82 1111111110000010
0/A 16   0xff83 1111111110000011
1/1  4   0x000c 1100
1/2  5   0x001b 11011
1/3  7   0x0079 1111001
1/4  9   0x01f6 111110110
1/5 11   0x07f6 11111110110
1/6 16   0xff84 1111111110000100
1/7 16   0xff85 1111111110000101
1/8 16   0xff86 1111111110000110
1/9 16   0xff87 1111111110000111
1/A 16   0xff88 1111111110001000
2/1  5   0x001c 11100
2/2  8   0x00f9 11111001
2/3 10   0x03f7 1111110111
2/4 12   0x0ff4 111111110100
2/5 16   0xff89 1111111110001001
2/6 16   0xff8a 1111111110001010
2/7 16   0xff8b 1111111110001011
2/8 16   0xff8c 1111111110001100
2/9 16   0xff8d 1111111110001101
2/A 16   0xff8e 1111111110001110
3/1  6   0x003a 111010
3/2  9   0x01f7 111110111
3/3 12   0x0ff5 111111110101
3/4 16   0xff8f 1111111110001111
3/5 16   0xff90 1111111110010000
3/6 16   0xff91 1111111110010001
3/7 16   0xff92 1111111110010010
3/8 16   0xff93 1111111110010011
3/9 16   0xff94 1111111110010100
3/A 16   0xff95 1111111110010101

4/1  6   0x003b 111011
4/2 10   0x03f8 1111111000
4/3 16   0xff96 1111111110010110
4/4 16   0xff97 1111111110010111
4/5 16   0xff98 1111111110011000
4/6 16   0xff99 1111111110011001
4/7 16   0xff9a 1111111110011010
4/8 16   0xff9b 1111111110011011
4/9 16   0xff9c 1111111110011100
4/A 16   0xff9d 1111111110011101
5/1  7   0x007a 1111010
5/2 11   0x07f7 11111110111
5/3 16   0xff9e 1111111110011110
5/4 16   0xff9f 1111111110011111
5/5 16   0xffa0 1111111110100000
5/6 16   0xffa1 1111111110100001
5/7 16   0xffa2 1111111110100010
5/8 16   0xffa3 1111111110100011
5/9 16   0xffa4 1111111110100100
5/A 16   0xffa5 1111111110100101
6/1  7   0x007b 1111011
6/2 12   0x0ff6 111111110110
6/3 16   0xffa6 1111111110100110
6/4 16   0xffa7 1111111110100111
6/5 16   0xffa8 1111111110101000
6/6 16   0xffa9 1111111110101001
6/7 16   0xffaa 1111111110101010
6/8 16   0xffab 1111111110101011
6/9 16   0xffac 1111111110101100
6/A 16   0xffad 1111111110101101
7/1  8   0x00fa 11111010
7/2 12   0x0ff7 111111110111
7/3 16   0xffae 1111111110101110
7/4 16   0xffaf 1111111110101111
7/5 16   0xffb0 1111111110110000
7/6 16   0xffb1 1111111110110001
7/7 16   0xffb2 1111111110110010
7/8 16   0xffb3 1111111110110011
7/9 16   0xffb4 1111111110110100
7/A 16   0xffb5 1111111110110101
8/1  9   0x01f8 111111000
8/2 15   0x7fc0 111111111000000

8/3 16   0xffb6 1111111110110110
8/4 16   0xffb7 1111111110110111
8/5 16   0xffb8 1111111110111000
8/6 16   0xffb9 1111111110111001
8/7 16   0xffba 1111111110111010
8/8 16   0xffbb 1111111110111011
8/9 16   0xffbc 1111111110111100
8/A 16   0xffbd 1111111110111101
9/1  9   0x01f9 111111001
9/2 16   0xffbe 1111111110111110
9/3 16   0xffbf 1111111110111111
9/4 16   0xffc0 1111111111000000
9/5 16   0xffc1 1111111111000001
9/6 16   0xffc2 1111111111000010
9/7 16   0xffc3 1111111111000011
9/8 16   0xffc4 1111111111000100
9/9 16   0xffc5 1111111111000101
9/A 16   0xffc6 1111111111000110
A/1  9   0x01fa 111111010
A/2 16   0xffc7 1111111111000111
A/3 16   0xffc8 1111111111001000
A/4 16   0xffc9 1111111111001001
A/5 16   0xffca 1111111111001010
A/6 16   0xffcb 1111111111001011
A/7 16   0xffcc 1111111111001100
A/8 16   0xffcd 1111111111001101
A/9 16   0xffce 1111111111001110
A/A 16   0xffcf 1111111111001111
B/1 10   0x03f9 1111111001
B/2 16   0xffd0 1111111111010000
B/3 16   0xffd1 1111111111010001
B/4 16   0xffd2 1111111111010010
B/5 16   0xffd3 1111111111010011
B/6 16   0xffd4 1111111111010100
B/7 16   0xffd5 1111111111010101
B/8 16   0xffd6 1111111111010110
B/9 16   0xffd7 1111111111010111
B/A 16   0xffd8 1111111111011000
C/1 10   0x03fa 1111111010
C/2 16   0xffd9 1111111111011001
C/3 16   0xffda 1111111111011010
C/4 16   0xffdb 1111111111011011

C/5 16   0xffdc 1111111111011100
C/6 16   0xffdd 1111111111011101
